file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
case_0030_20260629_094238_259_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000029_00,0.0,6.536875,wav,-45.58983777714067,-49.52540826797485,2.2220628261933446,29.691866174175615
case_0049_20260629_094519_661_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000048_00,0.0,2.936875,wav,-48.86874867134354,-49.77438335418701,2.180161166909097,21.001135579390663
case_0061_20260629_103704_918_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000060_00,0.0,4.856875,wav,-46.78151523919753,-49.52148033590878,2.1228167529208846,26.15712895027285
case_0085_20260629_104213_497_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000085_00,0.0,4.056875,wav,-48.71152921028325,-51.638754526774086,2.076427272057492,24.070829391767987
case_0056_20260629_103618_921_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000055_00,0.0,6.136875,wav,-48.2779640421417,-52.75953583283858,2.045151979024608,23.33389262500637
case_0020_20260629_094125_260_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000019_00,0.0,3.656875,wav,-47.98408149760929,-48.455175685882566,2.045151979024608,21.675888867060003
case_0018_20260629_094015_208_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000017_00,0.0,3.816875,wav,-45.5966796875,-46.635048378838434,1.991750541564122,17.361404905960796
case_0088_20260629_104243_189_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000088_00,0.0,5.736875,wav,-49.78367269163763,-51.73077094338157,1.9871594508632047,28.09059045059536
case_0009_20260629_093901_441_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000008_00,0.0,5.976875,wav,-48.13963537311873,-47.54205329329879,1.9871559762066746,17.97819890325787
case_0101_20260629_104453_591_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000101_00,0.0,3.976875,wav,-49.095320351758794,-51.75021858215332,1.9644745748100956,20.808425175956685
case_0012_20260629_093929_211_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000011_00,0.0,3.736875,wav,-47.86187646223262,-51.4807825088501,1.964470099828013,21.123042101114457
case_0059_20260629_103647_174_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000058_00,0.0,4.696875,wav,-49.33393866356383,-47.376971081989566,1.9484483567116098,27.04139187371698
case_0068_20260629_103912_811_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000067_00,0.0,4.856875,wav,-44.37803417566872,-45.78134509495327,1.9475451998251565,24.519587497857323
case_0043_20260629_094436_018_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000042_00,0.0,2.936875,wav,-51.38451650191327,-52.71464284261068,1.8455015828685746,28.273647798333545
case_0084_20260629_104205_560_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000084_00,0.0,4.936875,wav,-46.30963752530364,-49.10790270428325,1.836919728382372,32.38479010439906
case_0019_20260629_094021_972_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000018_00,0.0,3.176875,wav,-49.68063642393868,-50.4825933301771,1.8167713140389352,23.44446920184472
case_0086_20260629_104220_891_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000086_00,0.0,8.296875,wav,-41.55422628012048,-46.97504425048828,1.7906132258633194,22.72483717479259
case_0023_20260629_094147_704_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000022_00,0.0,2.536875,wav,-53.76487527682087,-53.83580994606018,1.7694215855520983,24.99391579255811
case_0075_20260629_104011_926_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000074_00,0.0,2.696875,wav,-48.35558449074074,-51.86117451007549,1.7457748547646241,30.020895255426108
case_0054_20260629_103559_158_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000053_00,0.0,5.896875,wav,-49.41966697563559,-52.84777952829997,1.737887271856262,20.849237691052544
case_0062_20260629_103713_061_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000061_00,0.0,3.496875,wav,-47.56868861607143,-48.46233886327499,1.7152640869824858,21.001248568211743
case_0091_20260629_104326_164_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000091_00,0.0,2.376875,wav,-49.138191800157564,-50.3371490750994,1.7112177191107356,25.04124623253309
case_0074_20260629_104002_655_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000073_00,0.0,3.896875,wav,-45.979657451923075,-48.0824779510498,1.695687887833301,28.644621876286905
case_0014_20260629_093947_935_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000013_00,0.0,3.496875,wav,-47.013069196428575,-47.58351471113122,1.671891423448358,17.672673251341266
case_0040_20260629_094412_254_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000039_00,0.0,3.896875,wav,-48.13135016025641,-47.79962741627413,1.631836713172615,15.630582136727362
case_0060_20260629_103657_814_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000059_00,0.0,3.976875,wav,-47.580087939698494,-49.63034813076842,1.510544476030528,27.895914671679556
case_0041_20260629_094420_280_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000040_00,0.0,3.416875,wav,-48.113252695540936,-47.03339661492242,1.2824985515604588,21.102541872707445
